bloque,categoria,siniestros,victimas,leves,graves,mortales
anio,2019,10155,11886,11328,454,104
anio,2020,6061,6936,6684,170,82
anio,2021,7818,9053,8590,367,96
anio,2022,9536,10647,9978,558,111
anio,2023,9927,11075,10601,368,106
anio,2024,10569,12481,11814,554,113
anio,2025,11752,13115,12313,711,91
mes,1,4627,5333,,,63
mes,2,4701,5351,,,56
mes,3,5652,6505,,,53
mes,4,5263,5982,,,61
mes,5,5325,6061,,,67
mes,6,5366,6092,,,56
mes,7,5528,6345,,,53
mes,8,5793,6510,,,64
mes,9,5683,6415,,,55
mes,10,6192,7182,,,47
mes,11,5690,6462,,,55
mes,12,5998,6955,,,73
dia_semana,Martes,10319,11692,11146,439,107
dia_semana,Miercoles,10391,11641,11127,424,90
dia_semana,Jueves,10678,12081,11454,503,124
dia_semana,Viernes,11120,12560,11926,537,97
dia_semana,Sabado,7791,9038,8508,423,107
dia_semana,Domingo,5849,7131,6640,409,82
dia_semana,Lunes,9670,11050,10507,447,96
hora,0,1901,2154,,,21
hora,1,947,1144,,,17
hora,2,693,806,,,13
hora,3,508,637,,,30
hora,4,454,577,,,25
hora,5,754,938,,,32
hora,6,1317,1589,,,34
hora,7,2150,2562,,,46
hora,8,2960,3485,,,28
hora,9,3141,3591,,,29
hora,10,3134,3479,,,32
hora,11,3384,3848,,,33
hora,12,4116,4662,,,43
hora,13,4181,4758,,,25
hora,14,4458,5022,,,43
hora,15,4361,4944,,,25
hora,16,4610,5208,,,31
hora,17,4748,5365,,,33
hora,18,4421,5000,,,31
hora,19,3719,4161,,,37
hora,20,3231,3679,,,29
hora,21,2708,3072,,,20
hora,22,2224,2542,,,18
hora,23,1617,1874,,,27
hora,NI,81,96,,,1
franja,Madrugada,5257,6256,5635,483,138
franja,Noche,17920,20328,19301,864,162
franja,Tarde,26474,29959,28725,1035,200
franja,Manana,16086,18554,17580,772,202
franja,NoInf,81,96,67,28,1
tipo_via,Autopista,1041,1282,,,71
tipo_via,Avenida,30525,34747,,,426
tipo_via,NoInf,12542,14556,,,0
tipo_via,GralPaz,2916,3569,,,56
tipo_via,Calle,18794,21039,,,150
modo,Auto,7073,9399,,,60
modo,Moto,24555,26885,,,288
modo,Bicicleta,7091,7299,,,54
modo,Peaton,9415,10097,,,273
modo,NoInf,10929,12428,,,0
modo,Taxi,810,1071,,,1
modo,Camion,250,334,,,5
modo,Transporte Publico,3633,4695,,,6
modo,Movil,531,681,,,3
modo,Mixto,498,975,,,4
modo,Otro,129,157,,,0
modo,Utilitario,697,958,,,8
modo,Monopatin,207,214,,,1
contraparte,Utilitario,3575,4047,,,35
contraparte,Auto,29996,33872,,,203
contraparte,Camion,2579,2978,,,125
contraparte,Movil,804,977,,,7
contraparte,Transporte Publico,6035,7283,,,145
contraparte,Moto,3496,4084,,,52
contraparte,NoInf,14067,15831,,,10
contraparte,Taxi,2624,2891,,,7
contraparte,Objeto Fijo,1521,1823,,,87
contraparte,Bicicleta,390,423,,,6
contraparte,Otro,204,254,,,2
contraparte,Multiple,347,524,,,13
contraparte,Peaton,36,44,,,0
contraparte,Monopatin,57,60,,,1
contraparte,Tren,13,14,,,10
contraparte,Camioneta,74,88,,,0
comuna,C8,3088,3884,,,65
comuna,C12,4310,4983,,,43
comuna,C11,3531,3985,,,31
comuna,C9,4450,5335,,,56
comuna,C4,4562,5418,,,75
comuna,C3,4858,5413,,,43
comuna,C14,4496,5080,,,42
comuna,C15,5214,5841,,,45
comuna,C1,7241,8128,,,75
comuna,C7,4368,5033,,,55
comuna,C2,2350,2582,,,24
comuna,C13,3965,4421,,,45
comuna,C5,3285,3652,,,31
comuna,C6,2772,3125,,,20
comuna,C10,3776,4332,,,53
comuna,NoInf,3552,3981,,,0
gravedad,Leve,62174,70854,70823,32,0
gravedad,Grave,2955,3572,447,3125,0
gravedad,Mortal,689,767,38,25,703
victimas_por_siniestro,1,59052,,,,
victimas_por_siniestro,2,5295,,,,
victimas_por_siniestro,3,911,,,,
victimas_por_siniestro,4,304,,,,
victimas_por_siniestro,5,134,,,,
victimas_por_siniestro,6,61,,,,
victimas_por_siniestro,7,23,,,,
victimas_por_siniestro,8,19,,,,
victimas_por_siniestro,9,3,,,,
victimas_por_siniestro,10,16,,,,
anio_mes,2019-01,750,882,,,
anio_mes,2019-02,801,941,,,
anio_mes,2019-03,960,1151,,,
anio_mes,2019-04,967,1135,,,
anio_mes,2019-05,1049,1244,,,
anio_mes,2019-06,896,1059,,,
anio_mes,2019-07,937,1176,,,
anio_mes,2019-08,912,1049,,,
anio_mes,2019-09,895,1067,,,
anio_mes,2019-10,891,1048,,,
anio_mes,2019-11,555,572,,,
anio_mes,2019-12,542,562,,,
anio_mes,2020-01,679,775,,,
anio_mes,2020-02,728,803,,,
anio_mes,2020-03,493,555,,,
anio_mes,2020-04,194,214,,,
anio_mes,2020-05,328,369,,,
anio_mes,2020-06,325,358,,,
anio_mes,2020-07,359,387,,,
anio_mes,2020-08,442,488,,,
anio_mes,2020-09,497,547,,,
anio_mes,2020-10,585,739,,,
anio_mes,2020-11,690,799,,,
anio_mes,2020-12,741,902,,,
anio_mes,2021-01,534,601,,,
anio_mes,2021-02,484,571,,,
anio_mes,2021-03,719,817,,,
anio_mes,2021-04,609,701,,,
anio_mes,2021-05,301,302,,,
anio_mes,2021-06,674,756,,,
anio_mes,2021-07,701,810,,,
anio_mes,2021-08,807,912,,,
anio_mes,2021-09,661,766,,,
anio_mes,2021-10,833,992,,,
anio_mes,2021-11,660,779,,,
anio_mes,2021-12,835,1046,,,
anio_mes,2022-01,563,644,,,
anio_mes,2022-02,628,698,,,
anio_mes,2022-03,867,972,,,
anio_mes,2022-04,852,987,,,
anio_mes,2022-05,827,938,,,
anio_mes,2022-06,833,925,,,
anio_mes,2022-07,762,853,,,
anio_mes,2022-08,828,856,,,
anio_mes,2022-09,904,1010,,,
anio_mes,2022-10,847,964,,,
anio_mes,2022-11,831,908,,,
anio_mes,2022-12,794,892,,,
anio_mes,2023-01,609,691,,,
anio_mes,2023-02,606,653,,,
anio_mes,2023-03,875,1012,,,
anio_mes,2023-04,809,914,,,
anio_mes,2023-05,907,992,,,
anio_mes,2023-06,857,935,,,
anio_mes,2023-07,865,967,,,
